co2TailpipeGpm,cylinders,displ,drive,feScore,fuelType,make,UCity,UHighway,VClass,year,startStop,lv4,pv4,am
468,4,2.5,All-Wheel Drive,4,Premium,Subaru,20.8845,31.4599,Compact Cars,2013,N,12,96,M
431,6,3.6,Front-Wheel Drive,5,Gasoline or E85,Buick,21.5,38.1,Midsize Cars,2013,N,16,100,A
407,4,2,Front-Wheel Drive,5,Gasoline or E85,Buick,23,40,Midsize Cars,2013,N,13,98,A
373,4,2,Front-Wheel Drive,6,Gasoline or E85,Buick,25,44.5,Midsize Cars,2013,Y,13,98,M
407,4,2,Front-Wheel Drive,5,Gasoline or E85,Buick,23,40,Midsize Cars,2013,N,13,98,A
425,6,3.6,Rear-Wheel Drive,5,Regular,Cadillac,22.2,37.4,Midsize Cars,2013,N,15,99,A
291,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,33.7,54.95,Midsize Cars,2013,N,16,94,A
293,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,33.7,53.5,Midsize Cars,2013,N,16,94,M
268,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,36.5,59.7,Midsize Cars,2013,N,16,94,M
296,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,33.3,53.45,Midsize Cars,2013,N,16,94,A
305,4,1.8,Front-Wheel Drive,8,Regular,Chevrolet,32,51.4,Midsize Cars,2013,N,16,94,M
333,4,1.8,Front-Wheel Drive,7,Regular,Chevrolet,28.5,49.1,Midsize Cars,2013,N,16,94,A
259,4,1.2,Front-Wheel Drive,9,Regular,Chevrolet,41.6,54.1,Subcompact Cars,2013,Y,11,86,M
343,4,2,All-Wheel Drive,7,Premium,Audi,27.624,43.9699,Compact Cars,2013,N,12,91,M
413,6,3,All-Wheel Drive,5,Premium,Audi,22.4,35.8,Compact Cars,2013,N,13,90,A
439,6,3,All-Wheel Drive,5,Premium,Audi,20,33.4,Compact Cars,2013,N,13,90,M
271,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,37.1,56.8,Compact Cars,2013,Y,14,91,M
286,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,35.1,52.9,Compact Cars,2013,Y,14,91,A
288,4,1.6,Front-Wheel Drive,8,Regular,Hyundai,37.6186,57.1472,Compact Cars,2013,N,16,90,A
288,4,1.6,Front-Wheel Drive,8,Regular,Hyundai,36.1,56.5,Compact Cars,2013,N,16,90,M
317,4,1.6,Front-Wheel Drive,7,Regular,Hyundai,32.1,52,Compact Cars,2013,N,16,90,A
318,4,1.6,Front-Wheel Drive,7,Regular,Hyundai,32.9,53.2,Compact Cars,2013,N,16,90,M
309,4,2,All-Wheel Drive,7,Regular,Subaru,31.5125,47.3608,Compact Cars,2013,N,12,96,M
425,6,3,All-Wheel Drive,5,Regular,Volvo,22.4,34.6,Compact Cars,2013,Y,14,92,A
362,5,2.5,Front-Wheel Drive,6,Regular,Volvo,26.5,42.4,Compact Cars,2013,N,14,92,A
375,5,2.5,All-Wheel Drive,6,Regular,Volvo,25.5,39.7,Compact Cars,2013,Y,14,92,A
374,6,3,Rear-Wheel Drive,6,Premium,BMW,25.6124,42.4092,Compact Cars,2013,N,16,97,A
425,6,3.6,All-Wheel Drive,5,Regular,Cadillac,22.3,37.3,Midsize Cars,2013,N,14,97,A
463,6,3,Rear-Wheel Drive,4,Regular,Cadillac,19.6712,35.9375,Midsize Cars,2013,N,15,99,M
410,6,3,Rear-Wheel Drive,5,Regular,Cadillac,23.1,38.3,Midsize Cars,2013,N,15,99,A
433,6,3,All-Wheel Drive,5,Regular,Cadillac,22,36.2,Midsize Cars,2013,N,14,97,A
271,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,37.1,56.8,Midsize Cars,2013,Y,19,91,M
286,4,1.4,Front-Wheel Drive,8,Regular,Chevrolet,35.1,52.9,Midsize Cars,2013,Y,19,91,A
337,4,2,Front-Wheel Drive,7,Regular,Kia,28.4,47.5,Midsize Cars,2013,N,15,102,A
322,4,2.4,Front-Wheel Drive,7,Regular,Kia,30.2699,49.3096,Midsize Cars,2013,N,15,102,A
323,4,2.4,Front-Wheel Drive,7,Regular,Kia,30.2,48.8,Midsize Cars,2013,N,15,102,M
305,4,2,Front-Wheel Drive,8,Regular,Kia,32.8317,50.3071,Midsize Cars,2013,N,15,97,A
312,4,2,Front-Wheel Drive,8,Regular,Kia,32.2,48.7,Midsize Cars,2013,N,15,97,M
292,4,2,Front-Wheel Drive,8,Regular,Kia,34.6391,51.7894,Midsize Cars,2013,N,15,97,A
341,4,2.4,Front-Wheel Drive,7,Regular,Kia,29.1038,44.8218,Midsize Cars,2013,N,15,97,A
345,4,2.4,Front-Wheel Drive,7,Regular,Kia,28.5,44.8,Midsize Cars,2013,N,15,97,M
287,4,2.5,Front-Wheel Drive,8,Regular,Nissan,35.2165,56.1239,Midsize Cars,2013,N,15,102,A
351,6,3.5,Front-Wheel Drive,6,Regular,Nissan,28.1494,43.4577,Midsize Cars,2013,N,15,102,A
331,4,2,Front-Wheel Drive,7,Premium,Volkswagen,29.5139,45.1099,Compact Cars,2013,N,16,94,A
344,4,2,Front-Wheel Drive,7,Premium,Volkswagen,26.5556,44.9945,Compact Cars,2013,N,16,94,M
290,4,2,Front-Wheel Drive,9,Diesel,Volkswagen,37.9,56.8,Midsize Cars,2013,N,16,102,A
390,6,3.6,Front-Wheel Drive,6,Premium,Volkswagen,23.9,37.3,Midsize Cars,2013,N,16,102,A
289,4,2,Front-Wheel Drive,9,Diesel,Volkswagen,38.2,62.8,Midsize Cars,2013,N,16,102,M
425,6,3,All-Wheel Drive,5,Regular,Volvo,22.4,34.6,Midsize Cars,2013,N,15,98,A
447,6,3.6,All-Wheel Drive,5,Regular,Cadillac,20.9,36,Large Cars,2013,N,18,104,A
279,4,1.2,Front-Wheel Drive,8,Regular,Chevrolet,36.8,53.2,Subcompact Cars,2013,Y,11,86,A
342,4,2,Front-Wheel Drive,7,Premium,Audi,30.1185,44.4328,Compact Cars,2013,Y,12,91,A
374,4,2,All-Wheel Drive,6,Premium,Audi,25.6856,40.5676,Compact Cars,2013,Y,12,91,A
369,4,2,Front-Wheel Drive,6,Regular,Buick,25.7,43.8,Compact Cars,2013,N,14,91,M
341,4,2.5,Rear-Wheel Drive,7,Regular,Cadillac,28.5,45.9,Compact Cars,2013,N,10,91,A
301,4,1.8,Front-Wheel Drive,8,Regular,Chevrolet,33.9,49.2,Compact Cars,2013,Y,14,91,M
312,4,1.8,Front-Wheel Drive,7,Regular,Chevrolet,31.5,50,Compact Cars,2013,Y,14,91,A
454,8,4.7,Rear-Wheel Drive,5,Premium,Mercedes-Benz,21.0313,36.0373,Compact Cars,2013,N,11,92,A
458,8,4.7,All-Wheel Drive,4,Premium,Mercedes-Benz,20.5145,33.6744,Compact Cars,2013,N,11,92,A
469,8,5.5,Rear-Wheel Drive,4,Premium,Mercedes-Benz,19.183,32.0357,Compact Cars,2013,N,11,92,A
320,4,2,Front-Wheel Drive,7,Premium,Audi,31.4,46.9,Midsize Cars,2013,Y,16,98,A
374,4,2,All-Wheel Drive,6,Premium,Audi,25.6856,40.5676,Midsize Cars,2013,Y,16,98,A
412,6,3,All-Wheel Drive,5,Premium,Audi,23.1369,38.1,Midsize Cars,2013,N,16,98,A
404,4,2,Front-Wheel Drive,5,Regular,Buick,25.7,43.8,Midsize Cars,2013,N,13,98,M
452,6,3.6,All-Wheel Drive,5,Gasoline or E85,Buick,20.7,35.4,Midsize Cars,2013,N,16,100,A
379,4,2.4,Front-Wheel Drive,6,Gasoline or E85,Buick,24.5,43.6,Midsize Cars,2013,N,13,98,A
379,4,2.4,Front-Wheel Drive,6,Regular,Buick,24.5,43.6,Midsize Cars,2013,N,13,98,A
301,4,1.8,Front-Wheel Drive,8,Regular,Chevrolet,33.9,49.2,Midsize Cars,2013,Y,19,91,M
312,4,1.8,Front-Wheel Drive,7,Regular,Chevrolet,31.5,50,Midsize Cars,2013,Y,19,91,A
362,6,3.5,Front-Wheel Drive,6,Regular,Lexus,26.2329,43.628,Midsize Cars,2013,Y,15,100,A
224,4,2.5,Front-Wheel Drive,10,Regular,Lexus,56.1,54.2,Midsize Cars,2013,Y,12,100,A
400,6,3.5,All-Wheel Drive,5,Premium,Mercedes-Benz,24.2722,40.2399,Midsize Cars,2013,N,13,98,A
391,6,3.5,Rear-Wheel Drive,6,Premium,Mercedes-Benz,24.3377,42.7428,Midsize Cars,2013,N,13,98,A
454,8,4.7,All-Wheel Drive,5,Premium,Mercedes-Benz,20.3219,34.7374,Midsize Cars,2013,N,13,98,A
475,8,5.5,Rear-Wheel Drive,4,Premium,Mercedes-Benz,19.2491,31.4864,Midsize Cars,2013,N,13,98,A
297,4,2,Front-Wheel Drive,9,Diesel,Volkswagen,39.0935,59.3437,Compact Cars,2013,N,16,94,A
297,4,2,Front-Wheel Drive,9,Diesel,Volkswagen,38.747,59.8138,Compact Cars,2013,N,16,94,M
339,5,2.5,Front-Wheel Drive,7,Regular,Volkswagen,26.1361,42.9279,Midsize Cars,2013,N,16,102,M
351,5,2.5,Front-Wheel Drive,6,Regular,Volkswagen,27.0219,40.7879,Midsize Cars,2013,N,16,102,A
344,4,2,Front-Wheel Drive,6,Regular,Volkswagen,28.1,41.499,Compact Cars,2013,N,16,94,A
316,4,2,Front-Wheel Drive,7,Regular,Volkswagen,28.8,46.2,Compact Cars,2013,N,16,94,M
388,6,3.2,Front-Wheel Drive,6,Regular,Volvo,24.3861,39.6162,Midsize Cars,2013,N,15,98,A
413,6,3.6,Front-Wheel Drive,5,Regular,Chevrolet,22.5,40.3,Large Cars,2013,N,19,105,A
408,6,3.6,Front-Wheel Drive,5,Gasoline or E85,Chevrolet,22.3,41.6,Large Cars,2013,N,19,105,A
479,8,4.7,Rear-Wheel Drive,4,Premium,Mercedes-Benz,19.5549,33.2649,Large Cars,2013,N,16,109,A
500,8,5.5,Rear-Wheel Drive,4,Premium,Mercedes-Benz,19.0072,30.5142,Large Cars,2013,N,16,109,A
500,8,4.7,All-Wheel Drive,4,Premium,Mercedes-Benz,18.7941,32.1822,Large Cars,2013,N,16,109,A
500,8,4.8,All-Wheel Drive,4,Premium,Porsche,18.5,32,Large Cars,2013,N,25,98,A
500,8,4.8,All-Wheel Drive,4,Premium,Porsche,18.5,32,Large Cars,2013,N,25,98,A
578,8,6.2,Rear-Wheel Drive,3,Premium,Mercedes-Benz,16.265,26.6604,Subcompact Cars,2013,N,12,81,A
576,8,6.2,Rear-Wheel Drive,3,Premium,Mercedes-Benz,16.4102,26.8007,Subcompact Cars,2013,N,12,81,A
398,6,3.5,All-Wheel Drive,5,Premium,Mercedes-Benz,24.2,36.8,Compact Cars,2013,Y,12,88,A
382,6,3.5,Rear-Wheel Drive,6,Premium or E85,Mercedes-Benz,25.1823,40.2332,Compact Cars,2013,N,12,88,A
352,4,1.8,Rear-Wheel Drive,6,Premium,Mercedes-Benz,27.4151,44.2558,Compact Cars,2013,Y,12,88,A
